m,normalized_m
0,-50.51546391752577
1,-49.48453608247423
2,-48.45360824742268
3,-47.42268041237113
4,-46.391752577319586
5,-45.36082474226804
6,-44.329896907216494
7,-43.29896907216495
8,-42.2680412371134
9,-41.23711340206185
10,-40.20618556701031
11,-39.175257731958766
12,-38.144329896907216
13,-37.11340206185567
14,-36.08247422680412
15,-35.051546391752574
16,-34.02061855670103
17,-32.98969072164948
18,-31.958762886597935
19,-30.927835051546392
20,-29.896907216494846
21,-28.865979381443296
22,-27.835051546391753
23,-26.804123711340207
24,-25.773195876288657
25,-24.742268041237114
26,-23.711340206185564
27,-22.68041237113402
28,-21.649484536082475
29,-20.618556701030926
30,-19.587628865979383
31,-18.556701030927837
32,-17.525773195876287
33,-16.49484536082474
34,-15.463917525773196
35,-14.432989690721648
36,-13.402061855670103
37,-12.371134020618557
38,-11.34020618556701
39,-10.309278350515463
40,-9.278350515463918
41,-8.24742268041237
42,-7.216494845360824
43,-6.185567010309279
44,-5.154639175257731
45,-4.123711340206185
46,-3.0927835051546393
47,-2.0618556701030926
48,-1.0309278350515463
49,0.0
50,1.0309278350515463
51,2.0618556701030926
52,3.0927835051546393
53,4.123711340206185
54,5.154639175257731
55,6.185567010309279
56,7.216494845360824
57,8.24742268041237
58,9.278350515463918
59,10.309278350515463
60,11.34020618556701
61,12.371134020618557
62,13.402061855670103
63,14.432989690721648
64,15.463917525773196
65,16.49484536082474
66,17.525773195876287
67,18.556701030927837
68,19.587628865979383
69,20.618556701030926
70,21.649484536082475
71,22.68041237113402
72,23.711340206185564
73,24.742268041237114
74,25.773195876288657
75,26.804123711340207
76,27.835051546391753
77,28.865979381443296
78,29.896907216494846
79,30.927835051546392
80,31.958762886597935
81,32.98969072164948
82,34.02061855670103
83,35.051546391752574
84,36.08247422680412
85,37.11340206185567
86,38.144329896907216
87,39.175257731958766
88,40.20618556701031
89,41.23711340206185
90,42.2680412371134
91,43.29896907216495
92,44.329896907216494
93,45.36082474226804
94,46.391752577319586
95,47.42268041237113
96,48.45360824742268
97,49.48453608247423
98,50.51546391752577
99,51.546391752577314
100,52.57731958762887
101,53.608247422680414
102,54.63917525773196
103,55.670103092783506
104,56.70103092783505
105,57.73195876288659
106,58.76288659793815
107,59.79381443298969
108,60.824742268041234
109,61.855670103092784
110,62.88659793814433
111,63.91752577319587
112,64.94845360824742
113,65.97938144329896
114,67.0103092783505
115,68.04123711340206
116,69.0721649484536
117,70.10309278350515
118,71.1340206185567
119,72.16494845360825
120,73.19587628865979
121,74.22680412371135
122,75.25773195876289
123,76.28865979381443
124,77.31958762886599
125,78.35051546391753
126,79.38144329896907
127,80.41237113402062
128,81.44329896907216
129,82.4742268041237
130,83.50515463917526
131,84.5360824742268
132,85.56701030927834
133,86.5979381443299
134,87.62886597938144
135,88.65979381443299
136,89.69072164948454
137,90.72164948453609
138,91.75257731958763
139,92.78350515463917
140,93.81443298969072
141,94.84536082474226
142,95.87628865979381
143,96.90721649484536
144,97.9381443298969
145,98.96907216494846
146,100.0
147,101.03092783505154
148,102.06185567010309
149,103.09278350515463
150,104.1237113402062
151,105.15463917525774
152,106.18556701030928
153,107.21649484536083
154,108.24742268041237
155,109.27835051546391
156,110.30927835051547
157,111.34020618556701
158,112.37113402061856
159,113.4020618556701
160,114.43298969072164
161,115.46391752577318
162,116.49484536082475
163,117.5257731958763
164,118.55670103092784
165,119.58762886597938
166,120.61855670103093
167,121.64948453608247
168,122.68041237113403
169,123.71134020618557
170,124.74226804123711
171,125.77319587628865
172,126.8041237113402
173,127.83505154639174
174,128.8659793814433
175,129.89690721649484
176,130.9278350515464
177,131.95876288659792
178,132.98969072164948
179,134.020618556701
180,135.0515463917526
181,136.08247422680412
182,137.11340206185568
183,138.1443298969072
184,139.17525773195877
185,140.2061855670103
186,141.23711340206185
187,142.2680412371134
188,143.29896907216494
