n,normalized_n
0,-37.5
1,-36.45833333333333
2,-35.41666666666667
3,-34.375
4,-33.33333333333333
5,-32.29166666666667
6,-31.25
7,-30.208333333333332
8,-29.166666666666668
9,-28.125
10,-27.083333333333332
11,-26.041666666666668
12,-25.0
13,-23.958333333333336
14,-22.916666666666664
15,-21.875
16,-20.833333333333336
17,-19.791666666666664
18,-18.75
19,-17.708333333333336
20,-16.666666666666664
21,-15.625
22,-14.583333333333334
23,-13.541666666666666
24,-12.5
25,-11.458333333333332
26,-10.416666666666668
27,-9.375
28,-8.333333333333332
29,-7.291666666666667
30,-6.25
31,-5.208333333333334
32,-4.166666666666666
33,-3.125
34,-2.083333333333333
35,-1.0416666666666665
36,0.0
37,1.0416666666666665
38,2.083333333333333
39,3.125
40,4.166666666666666
41,5.208333333333334
42,6.25
43,7.291666666666667
44,8.333333333333332
45,9.375
46,10.416666666666668
47,11.458333333333332
48,12.5
49,13.541666666666666
50,14.583333333333334
51,15.625
52,16.666666666666664
53,17.708333333333336
54,18.75
55,19.791666666666664
56,20.833333333333336
57,21.875
58,22.916666666666664
59,23.958333333333336
60,25.0
61,26.041666666666668
62,27.083333333333332
63,28.125
64,29.166666666666668
65,30.208333333333332
66,31.25
67,32.29166666666667
68,33.33333333333333
69,34.375
70,35.41666666666667
71,36.45833333333333
72,37.5
73,38.54166666666667
74,39.58333333333333
75,40.625
76,41.66666666666667
77,42.70833333333333
78,43.75
79,44.79166666666667
80,45.83333333333333
81,46.875
82,47.91666666666667
83,48.95833333333333
84,50.0
85,51.041666666666664
86,52.083333333333336
87,53.125
88,54.166666666666664
89,55.208333333333336
90,56.25
91,57.291666666666664
92,58.333333333333336
93,59.375
94,60.416666666666664
95,61.458333333333336
96,62.5
97,63.541666666666664
98,64.58333333333334
99,65.625
100,66.66666666666666
101,67.70833333333334
102,68.75
103,69.79166666666666
104,70.83333333333334
105,71.875
106,72.91666666666666
107,73.95833333333334
108,75.0
109,76.04166666666666
110,77.08333333333334
111,78.125
112,79.16666666666666
113,80.20833333333334
114,81.25
115,82.29166666666666
116,83.33333333333334
117,84.375
118,85.41666666666666
119,86.45833333333334
120,87.5
121,88.54166666666666
122,89.58333333333334
123,90.625
124,91.66666666666666
125,92.70833333333334
126,93.75
127,94.79166666666666
128,95.83333333333334
129,96.875
130,97.91666666666666
131,98.95833333333334
132,100.0
133,101.04166666666667
134,102.08333333333333
135,103.125
136,104.16666666666667
137,105.20833333333333
138,106.25
139,107.29166666666667
140,108.33333333333333
141,109.375
142,110.41666666666667
143,111.45833333333333
144,112.5
145,113.54166666666667
146,114.58333333333333
147,115.625
148,116.66666666666667
149,117.70833333333333
150,118.75
151,119.79166666666667
152,120.83333333333333
153,121.875
154,122.91666666666667
155,123.95833333333333
156,125.0
157,126.04166666666667
158,127.08333333333333
159,128.125
160,129.16666666666669
161,130.20833333333331
162,131.25
163,132.29166666666669
164,133.33333333333331
165,134.375
166,135.41666666666669
167,136.45833333333331
168,137.5
169,138.54166666666669
170,139.58333333333331
171,140.625
172,141.66666666666669
173,142.70833333333331
174,143.75
175,144.79166666666669
176,145.83333333333331
177,146.875
178,147.91666666666669
179,148.95833333333331
180,150.0
181,151.04166666666669
182,152.08333333333331
183,153.125
184,154.16666666666669
185,155.20833333333331
186,156.25
187,157.29166666666669
188,158.33333333333331
